zipcode,price
75010,$49.00
75005.0,$100.00
75019.0,$54.00
75010,$90.00
75015.0,$120.00
75004,$167.00
75019.0,$100.00
75016,$106.00
75018.0,$40.00
75015.0,$60.00
75007,$320.00
75007.0,$150.00
75001,$55.00
75011,$80.00
75018.0,$90.00
75020.0,$80.00
75019,$34.00
75010,$45.00
75019,$85.00
75005,$50.00
75011.0,$95.00
75015.0,$110.00
75007.0,$74.00
75017,$130.00
75009.0,$180.00
75116.0,$99.00
75018.0,$52.00
75014.0,$85.00
75011.0,$80.00
75116,$50.00
75006,$48.00
75002,$129.00
75014,$110.00
75007.0,$120.00
75016.0,$59.00
75011,$300.00
75015.0,$40.00
75015.0,$45.00
75003.0,$70.00
75013.0,$65.00
75017.0,$125.00
75016.0,$80.00
75010,$55.00
75014,$41.00
75018,$50.00
75018,$20.00
75013.0,$90.00
75005,$65.00
75013.0,$55.00
75015.0,$40.00
75014,$109.00
75012.0,$65.00
75004.0,$70.00
75018,$40.00
75003.0,$900.00
75018,$64.00
75018,$150.00
75001,$99.00
75015,$68.00
75015.0,$105.00
75011,$80.00
75018,$149.00
,$80.00
75017,$38.00
75010,$200.00
75020.0,$50.00
75019,$110.00
75007.0,$185.00
75019.0,$873.00
75003,$100.00
75018.0,$70.00
75003.0,$95.00
75010.0,$100.00
75003.0,$98.00
75016,$60.00
75018.0,$60.00
75003.0,$75.00
75002,$475.00
75015.0,$40.00
75005.0,$122.00
75013.0,$80.00
75116.0,$110.00
75018.0,$50.00
75018.0,$100.00
75009,$90.00
75017.0,$63.00
75010.0,$76.00
75019.0,$88.00
75017.0,$59.00
75011,$38.00
75008.0,$120.00
75007.0,$26.00
75011.0,$60.00
75002,$99.00
75011.0,$85.00
75009.0,$87.00
75008.0,$115.00
75020.0,$60.00
75010,$97.00
75011,$65.00
75010,$60.00
75018.0,$77.00
94300,$80.00
75018,$39.00
75018,$100.00
75004,$210.00
75013,$50.00
75018.0,$69.00
75011,$59.00
75014.0,$50.00
75007.0,$100.00
75011.0,$120.00
75015.0,$85.00
75015.0,$75.00
75011,$85.00
75020,$50.00
75005.0,$100.00
75014,$39.00
75017.0,$75.00
75017.0,$80.00
75007.0,$140.00
75019.0,$35.00
75016.0,$40.00
75015.0,$69.00
75005.0,$150.00
75005.0,$100.00
75005.0,$80.00
75018,"$1,000.00"
75017.0,$110.00
75015,$45.00
75007.0,$72.00
75018,$50.00
75019.0,$80.00
75015.0,$70.00
75011,$95.00
75011,$75.00
75015.0,$70.00
75020,$60.00
75017.0,$69.00
75020,$44.00
75013.0,$60.00
75003,$140.00
75004,$280.00
75016.0,$55.00
75011,$75.00
,$38.00
75016,$169.00
75003,$100.00
75002.0,$109.00
75018.0,$30.00
75012,$250.00
75005,$150.00
75018,$150.00
75013.0,$79.00
75015,$85.00
75015.0,$78.00
75017.0,$40.00
75010.0,$55.00
75016,$65.00
75011.0,$65.00
75006,$60.00
75007,$55.00
75009.0,$80.00
75010.0,$72.00
75014,$70.00
75008,$80.00
75011,$80.00
75020.0,$95.00
75018.0,$26.00
75020,$35.00
75008.0,$167.00
75006,$70.00
75020,$70.00
75116,$100.00
75009,$80.00
75017.0,$78.00
75006,$120.00
75017.0,$58.00
75018.0,$110.00
75015,$50.00
75013.0,$139.00
75002,$120.00
75011,$55.00
75018,$45.00
75015.0,$85.00
75007.0,$90.00
75004,$75.00
75020,$45.00
75020.0,$70.00
75010.0,$81.00
75011.0,$55.00
75116,$180.00
75008,$150.00
75004,$50.00
75018,$42.00
75005.0,$110.00
75018.0,$100.00
75018.0,$50.00
75011,$100.00
75011.0,$98.00
75013.0,$100.00
75116.0,$80.00
75019,$55.00
75019.0,$70.00
75005,$110.00
75008.0,$53.00
75020,$53.00
75011,$50.00
75008.0,$227.00
75003,$140.00
75002,$100.00
75005,$50.00
75015,$65.00
75009.0,$55.00
75001.0,$160.00
75015,$45.00
75011.0,$90.00
75015.0,$90.00
75015.0,$75.00
75018.0,$90.00
75003.0,$87.00
75010.0,$90.00
75005.0,$80.00
75004,$44.00
75005,$60.00
75018,$65.00
75005,$100.00
75006.0,$95.00
75018.0,$40.00
75017,$45.00
75014,$90.00
75015.0,$160.00
75007.0,$120.00
75009,$85.00
75018.0,$40.00
75020,$42.00
75018.0,$79.00
75016,$140.00
75016.0,$52.00
75018.0,$60.00
75015.0,$77.00
75011,$79.00
75004.0,$70.00
75009,$160.00
75011,$99.00
75003,$150.00
75010,$65.00
75019.0,$50.00
75008.0,$100.00
75017,$150.00
75013,$50.00
75009,$65.00
75018.0,$65.00
75013,$45.00
75015,$35.00
75011,$75.00
75009.0,$180.00
75004,$185.00
92100.0,$140.00
75010.0,$90.00
75003,$95.00
75015,$84.00
75017,$120.00
75003.0,$200.00
75011.0,$85.00
75116.0,$69.00
75019.0,$70.00
75019.0,$60.00
75004,$56.00
75006,$60.00
75012,$79.00
75017.0,$650.00
75002,$170.00
75014.0,$69.00
75013.0,$110.00
75005,$105.00
75010,$59.00
75116,$90.00
75010.0,$53.00
75010.0,$123.00
75004.0,$220.00
75002,$94.00
75018,$80.00
75019.0,$60.00
75001,$165.00
,$78.00
75018.0,$100.00
75004,$170.00
75018.0,$45.00
75017,$50.00
75014,$60.00
75005.0,$81.00
,$80.00
75011.0,$90.00
75002,$90.00
75004.0,$575.00
75018.0,$110.00
75019.0,$60.00
75009,$99.00
75018,$130.00
75002,$87.00
75002,$245.00
75010,$89.00
75018,$40.00
75012.0,$63.00
75012.0,$45.00
75013,$183.00
75010.0,$70.00
75015.0,$92.00
75012,$90.00
75010,$110.00
75015.0,$65.00
75015,$48.00
75006,$80.00
75002.0,$85.00
75013.0,$100.00
75002.0,$115.00
75019.0,$50.00
75002,$154.00
75019,$50.00
75010.0,$90.00
75002.0,$140.00
75011,$23.00
75010,$34.00
75011,$55.00
75014.0,$32.00
75010.0,$60.00
75019.0,$70.00
75018,$100.00
75116,$53.00
75017.0,$25.00
75013.0,$50.00
75015.0,$29.00
75005.0,$68.00
75015,$80.00
75014.0,$84.00
75002,$170.00
75018.0,$55.00
75019,$65.00
75004.0,$95.00
75014,$80.00
75006.0,$57.00
75002,$65.00
75012.0,$45.00
75003.0,$128.00
75013.0,$80.00
75017.0,$10.00
94340.0,$14.00
75010.0,$50.00
75010.0,$85.00
75011.0,$60.00
75003.0,$97.00
75018,$55.00
